,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i01.std
10624.0,5000.0,2495.0,1667.0,4029.0,4904.0,2403.0,2826.0,2700.0,2812.0,2385.0
10655.0,3612.0,1744.0,1158.0,2932.0,3599.0,1774.0,2046.0,1994.0,2067.0,1797.0
10663.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10708.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10737.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10853.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10864.0,3393.0,1640.0,1081.0,2765.0,3386.0,1660.0,1922.0,1870.0,1937.0,1690.0
10967.0,6476.0,3297.0,-1.0,5157.0,6260.0,3092.0,3661.0,3527.0,3629.0,3088.0
10987.0,2706.0,1289.0,840.0,2240.0,2749.0,1349.0,1538.0,1519.0,1567.0,1363.0
11041.0,3719.0,1799.0,1189.0,3008.0,3699.0,1821.0,2105.0,2040.0,2119.0,1836.0
11060.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11138.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11204.0,4851.0,2411.0,1606.0,3905.0,4755.0,2344.0,2732.0,2611.0,2729.0,2320.0
11318.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11374.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11376.0,6792.0,3470.0,2352.0,5393.0,6560.0,3223.0,3830.0,3703.0,3790.0,3245.0
11410.0,5552.0,2789.0,1859.0,4448.0,5409.0,2667.0,3171.0,3015.0,3133.0,2642.0
11434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11501.0,2085.0,964.0,616.0,1755.0,2140.0,1039.0,1188.0,1186.0,1220.0,1084.0
11536.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11580.0,2231.0,1027.0,660.0,1870.0,2272.0,1109.0,1273.0,1253.0,1301.0,1136.0
11703.0,389.0,69.0,45.0,463.0,520.0,262.0,257.0,246.0,252.0,257.0
11733.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11766.0,2392.0,1128.0,724.0,1990.0,2434.0,1190.0,1370.0,1348.0,1396.0,1211.0
