,0
3.0,18.184092783505164
4.0,18.36423076923077
5.0,18.722188172043
6.0,18.90238690476191
7.0,18.96553125
8.0,19.037796296296303
9.0,19.104732142857138
10.0,19.062343023255824
11.0,19.085845303867387
12.0,19.131289340101524
13.0,19.06765104166666
14.0,19.061861244019134
15.0,18.97729680365297
16.0,18.984941176470606
17.0,18.942562189054723
18.0,18.974536363636364
19.0,18.84388372093024
20.0,18.90500858369098
21.0,18.903826271186436
22.0,18.94755555555556
23.0,18.93618532818532
24.0,18.744708502024295
25.0,18.80875
26.0,18.88562592592593
27.0,18.92002554744525
28.0,18.92964492753623
29.0,18.955776061776067
30.0,18.97149809885932
31.0,18.923073529411763
32.0,18.985063157894725
33.0,18.960838709677425
34.0,18.982323193916354
35.0,18.86910181818182
36.0,18.96114765100672
37.0,18.969287769784174
38.0,18.918071672354937
39.0,19.050773648648658
40.0,19.037490066225164
41.0,18.98103389830509
42.0,19.014533557046974
43.0,19.114191637630654
44.0,19.221330065359496
45.0,19.052625418060195
46.0,18.987981072555193
47.0,18.909447019867542
48.0,19.025148264984228
49.0,19.07540566037735
50.0,19.100220820189282
51.0,19.154709969788527
52.0,19.1055375
53.0,19.11114501510574
54.0,19.30436887608068
55.0,19.13855059523808
56.0,19.13760623229462
57.0,19.149240105540898
58.0,19.102566572237937
59.0,19.010400568181815
60.0,19.18888154269973
61.0,19.00648414985589
62.0,19.143032000000005
63.0,19.10832898172325
64.0,19.07572916666666
65.0,19.20322739726027
66.0,19.089209302325585
67.0,19.138637974683554
68.0,19.274592137592116
69.0,19.10485063291139
70.0,18.95212871287129
71.0,19.129543147208107
72.0,19.117668292682936
73.0,19.155538653366598
74.0,19.17022549019609
75.0,19.082560102301784
76.0,19.3101815920398
77.0,19.115150485436885
78.0,19.146443902439028
79.0,19.219896551724148
80.0,19.135959523809536
81.0,19.152634433962277
82.0,19.200086854460118
83.0,19.159516990291262
84.0,19.214197115384614
85.0,19.191990566037738
86.0,19.10916981132076
87.0,19.259418390804594
88.0,19.142411494252887
89.0,19.178286353467556
90.0,19.191993243243246
91.0,19.25585849056603
92.0,19.116262672811065
93.0,19.147602649006622
94.0,19.28623755656107
95.0,19.298268456375837
96.0,19.150074245939688
97.0,19.22927682403434
98.0,19.206631004366816
99.0,19.31466740088105
100.0,19.173521645021655
101.0,19.273401746724886
102.0,19.239759825327518
103.0,19.234359649122826
104.0,19.292175324675323
105.0,19.201902748414376
106.0,19.2539098901099
107.0,19.288789247311826
108.0,19.285180467091294
109.0,19.229652078774627
110.0,19.214728632478646
111.0,19.169457202505193
112.0,19.14517409766454
113.0,19.207724731182804
114.0,19.270076595744673
115.0,19.18229487179487
116.0,19.16056896551725
117.0,19.19146736842106
118.0,19.308797849462348
119.0,19.273064989517813
120.0,19.21229361702125
121.0,19.26618029350106
122.0,19.22534024896265
123.0,19.21565163934428
124.0,19.242582304526756
125.0,19.298320346320345
126.0,19.26526595744679
127.0,19.28793535353537
128.0,19.165650107991365
129.0,19.231063265306133
130.0,19.253692963752663
131.0,19.31073903966598
132.0,19.27111157024795
133.0,19.259333333333338
134.0,19.343536956521742
135.0,19.31174639175258
136.0,19.29365828092243
137.0,19.211229338842987
138.0,19.263259414225953
139.0,19.317124735729347
140.0,19.23487242798353
141.0,19.363261954261944
142.0,19.341277890466532
143.0,19.277795591182382
144.0,19.264114822546983
145.0,19.346736051502145
146.0,19.40890526315787
147.0,19.36993008474578
148.0,19.34153002070395
149.0,19.320046709129517
150.0,19.30076923076924
151.0,19.373103950103943
152.0,19.355857438016532
153.0,19.35351906779661
154.0,19.37752917505031
155.0,19.32396237623762
156.0,19.421743902439008
157.0,19.40524158415842
158.0,19.353871227364174
159.0,19.304108651911456
160.0,19.26024439918532
161.0,19.339248015873025
162.0,19.298971999999992
163.0,19.31471825396826
164.0,19.363187628865983
165.0,19.372947046843173
166.0,19.272508097165975
167.0,19.366522088353424
168.0,19.324394891944973
169.0,19.362200404858324
170.0,19.335177824267767
